,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
807,ASUS,VivoBook,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,Missing,1,No,No,63990,67551,5,4.2,77,7
808,Lenovo,Ideapad,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,Missing,1,No,Yes,63990,85290,24,4.4,105,10
809,HP,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,57999,73625,21,4.1,44,5
810,ASUS,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,32-bit,4,Casual,Missing,0,No,No,72400,114000,36,0.0,0,0
811,Lenovo,Yoga,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,16,1,Yes,No,78990,125888,37,4.7,6,0
812,acer,Aspire,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,ThinNlight,Missing,1,No,No,59990,79999,25,0.0,0,0
813,ASUS,ROG,AMD,Ryzen 7,0,4,DDR5,512,0,Windows,32-bit,4,Casual,16,1,No,No,111990,132990,15,0.0,0,0
814,HP,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,32-bit,0,Casual,16,0,Yes,No,109000,128000,14,0.0,0,0
815,DELL,G5,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,6,Casual,16,0,No,No,89990,99067,9,4.1,191,27
816,Lenovo,Yoga,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,16,3,Yes,Yes,78988,114690,31,0.0,0,0
817,Lenovo,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,4,Casual,16,0,No,No,73138,112990,35,3.0,4,1
818,Lenovo,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,4,Casual,16,1,No,No,106990,152490,29,0.0,0,0
819,ASUS,Ryzen,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,32-bit,4,Casual,Missing,0,No,No,79990,96990,17,0.0,0,0
820,DELL,Inspiron,AMD,Ryzen 7,0,4,DDR4,512,0,Windows,64-bit,0,Casual,16,1,Yes,Yes,89570,111529,19,0.0,0,0
